stateLandRegionCode,stateName,subDistrictNomenclatureInTheState,recognizedOfficialLanguageCode
1,Jammu and Kashmir ,Tahsil,22
2,Himachal Pradesh,Tahsil,6
3,Punjab,Tahsil,16
4,Chandigarh,Tahsil,6
5,Uttarakhand,Tahsil,6
6,Haryana,Tahsil,6
7,Delhi,Tahsil,6
8,Rajasthan,Tahsil,6
9,Uttar Pradesh,Tahsil,6
10,Bihar,C.D. Block,6
11,Sikkim,Sub-Division,14
12,Arunachal Pradesh,Circle,6
13,Nagaland,Circle,99
14,Manipur,Sub-Division,12
15,Mizoram,R. D. Block,99
16,Tripura,Development Block,2
17,Meghalaya,C.D. Block,99
18,Assam,Circle,1
19,West Bengal,C.D. Block,2
20,Jharkhand,C.D. Block,6
21,Odisha,Police Station,15
22,Chhatisgarh,Tahsil,6
23,Madhya Pradesh,Tahsil,6
24,Gujarat,Taluka,5
25,Daman & Diu,Taluka,5
26,Dadra & Nagar Haveli,Taluka,5
27,Maharashtra,Tashil,13
28,Andhra Pradesh,Mandal,21
29,Karnataka,Taluka,7
30,Goa,Taluka,9
31,Lakshadweep,Sub-Division,11
32,Kerala,Taluka,11
33,Tamil Nadu,Taluka,20
34,Puducherry,Commune Panchayat,20
35,Andaman & Nicobar Islands,Tahsil,6